age_band,assumed_insulation_thickness,roof_construction,assumed_roof_u_value,table_notes_1,table_notes_2
B,none,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
C,none,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
D,none,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
E,12 mm,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
F,50 mm,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
G,100 mm,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
H,150 mm,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
I,150 mm,thatched roof,0.35,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
J,270 mm,thatched roof,0.3,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
K,270 mm,thatched roof,0.25,0.2 W/m2K in Scotland,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
L,270 mm,thatched roof,0.18,,"If there is also retro-fitted insulation between the rafters reduce the U-value to 1/(1/Utable + Rins) where Rins is 0.7 m2K/W for 50mm, 1.4 m2K/W for 100mm and 2.1 m2K/W for 150mm. Of retro-fit insulation present of unknown thickness use 50mm."
A,none,"thatched roof, room-in-roof",0.25,,
B,none,"thatched roof, room-in-roof",0.25,,
C,none,"thatched roof, room-in-roof",0.25,,
D,none,"thatched roof, room-in-roof",0.25,,
E,12 mm,"thatched roof, room-in-roof",0.25,,
F,50 mm,"thatched roof, room-in-roof",0.25,,
G,100 mm,"thatched roof, room-in-roof",0.25,,
H,150 mm,"thatched roof, room-in-roof",0.25,,
I,150 mm,"thatched roof, room-in-roof",0.25,,
J,270 mm,"thatched roof, room-in-roof",0.25,,
K,270 mm,"thatched roof, room-in-roof",0.25,0.2 W/m2K in Scotland,
L,270 mm,"thatched roof, room-in-roof",0.18,,
F,50 mm,park home,1.7,,
G,100 mm,park home,0.6,,
I,150 mm,park home,0.35,,
K,270 mm,park home,0.3,,
